Symbol,Interval,Hurst Exponent,Deviation,Average Volume,Data Points
APA,2m,0.529595495081202,0.02959549508120196,24563.16164507382,6638
PG,2m,0.5156811198000678,0.01568111980006781,19347.84603796324,6638
ABNB,2m,0.514303198767635,0.014303198767634973,18035.866827357637,6638
FAST,2m,0.5085886225205338,0.008588622520533828,11891.374058451342,6638
NEE,2m,0.5899520821823708,0.08995208218237083,44534.102455928885,6637
AAL,2m,0.574222312512219,0.074222312512219,165035.38481241526,6637
PM,2m,0.5641170728539242,0.0641170728539242,16318.456380894982,6637
PCG,2m,0.5585153167685928,0.058515316768592784,45897.02802470996,6637
PFE,2m,0.5582237418535145,0.05822374185351453,158885.00406810307,6637
SLB,2m,0.5527933410233765,0.05279334102337652,44405.427602832606,6637
ORCL,2m,0.5456359306335286,0.045635930633528554,34960.66626487871,6637
HST,2m,0.4588695630231481,0.041130436976851925,23455.007081512733,6637
AMAT,2m,0.5396950379321604,0.03969503793216045,16712.69594696399,6637
NEM,2m,0.46177752870149386,0.038222471298506144,34736.63567877053,6637
RF,2m,0.509969760686584,0.00996976068658395,25834.180653909898,6637
AMD,2m,0.4915813316549193,0.008418668345080704,243137.6350760886,6637
AMZN,2m,0.49384060730610374,0.0061593926938962595,173222.1456983577,6637
NRG,2m,0.5049156369467461,0.004915636946746127,15689.153533222841,6637
VRSN,1d,0.4962613466658973,0.003738653334102726,2750018.6466777157,6637
GOOGL,2m,0.5012049018165673,0.0012049018165672942,103526.78921199337,6637
GOOG,2m,0.5001310164211507,0.0001310164211506537,79362.73903872231,6637
OXY,2m,0.5614345816267091,0.06143458162670912,27790.663351416515,6636
RTX,2m,0.5502146500495071,0.05021465004950709,19091.805907172995,6636
FOXA,2m,0.5457178771820106,0.04571787718201059,11209.327908378542,6636
NCLH,2m,0.54188343290439,0.041883432904390006,70172.97393007835,6636
PSX,2m,0.5268821576578109,0.02688215765781088,8828.49879445449,6636
MCD,2m,0.522033341398093,0.022033341398092987,14168.129294755878,6636
OKE,2m,0.5202592099034553,0.02025920990345531,9034.304098854731,6636
MDT,2m,0.5197467411890344,0.01974674118903441,25535.95238095238,6636
GM,2m,0.5193821210113962,0.019382121011396247,51758.4694092827,6636
CTSH,2m,0.5177628135409733,0.01776281354097331,12013.874171187463,6636
LUV,2m,0.5066448107791964,0.006644810779196431,43949.0598251959,6636
NKE,2m,0.4998439713456148,0.00015602865438518743,35361.6116636528,6636
OTIS,2m,0.562103595358189,0.06210359535818899,7815.688319517709,6635
FIS,2m,0.5603242261488687,0.060324226148868676,17710.38854559156,6635
KR,2m,0.5535889438462241,0.053588943846224146,18266.630293896007,6635
HD,2m,0.46078447161174324,0.03921552838825676,13020.629841748305,6635
MRO,2m,0.4686441889936475,0.031355811006352485,46312.8850037679,6635
EQT,2m,0.4691152242067916,0.03088477579320842,27070.407837226827,6635
JNJ,2m,0.5208380774118444,0.020838077411844402,26897.41703089676,6635
NI,2m,0.48048840364464895,0.019511596355351046,14723.64310474755,6635
PLD,2m,0.5168302356290997,0.016830235629099688,15923.340768651093,6635
MRK,2m,0.48935914324133156,0.010640856758668438,25469.10293896006,6635
ADBE,2m,0.509926496431604,0.009926496431604037,13101.602562170308,6635
MA,2m,0.5048200323943768,0.004820032394376783,9594.814770158251,6635
HPQ,2m,0.6287904137442127,0.12879041374421274,35574.94859813084,6634
IP,2m,0.6000666538428752,0.10006665384287516,28497.632499246305,6634
ADI,2m,0.5899743378796474,0.08997433787964737,11936.646367199277,6634
JCI,2m,0.5811479554608968,0.08114795546089681,22970.47286704854,6634
KMI,2m,0.5714050706409367,0.07140507064093671,47970.4372927344,6634
MS,2m,0.5672877509166206,0.06728775091662065,20563.92764546277,6634
HON,2m,0.558305386104771,0.058305386104770984,9931.287760024119,6634
FCX,2m,0.46064054156571743,0.03935945843428257,67119.23243895086,6634
MGM,2m,0.46498897211477064,0.03501102788522936,16622.1810370817,6634
F,2m,0.5258043020574311,0.025804302057431117,204896.8213747362,6634
BEN,2m,0.5232529026660242,0.0232529026660242,15891.759571902321,6634
JPM,2m,0.5227712953653773,0.022771295365377253,33770.43548387097,6634
GE,2m,0.4805593447478564,0.019440655252143613,23036.700180886342,6634
IBM,2m,0.5047357152157016,0.004735715215701597,14312.827705758215,6634
TGT,2m,0.5044022000783899,0.004402200078389873,18012.926439553812,6634
FITB,2m,0.498262317320647,0.001737682679352981,14448.056074766355,6634
TJX,2m,0.5715541121624581,0.0715541121624581,24087.91029699985,6633
EOG,2m,0.5649198063512849,0.06491980635128491,12601.688979345696,6633
HAL,2m,0.5567378926001805,0.05673789260018047,23703.404191165384,6633
GS,2m,0.5542365402001024,0.05423654020010238,8365.057138549675,6633
UNH,2m,0.5437162210341123,0.043716221034112324,12711.09377355646,6633
