,AAPL,GOOGL,MSFT,AMZN,META,TSLA,NVDA,PYPL,ADBE,INTC
1790,141.2899932861328,97.43000030517578,237.0800018310547,115.91000366210938,138.75,270.8800048828125,124.36499786376953,87.83000183105469,281.57000732421875,26.2450008392334
1791,141.05999755859375,97.410400390625,236.69000244140625,115.80079650878906,138.25999450683594,270.5350036621094,124.2249984741211,88.16000366210938,282.1700134277344,26.190000534057617
1792,140.44039916992188,96.8499984741211,235.74000549316406,114.88500213623047,137.57000732421875,267.875,123.20999908447266,87.3550033569336,278.94000244140625,26.075000762939453
1793,140.07000732421875,96.33999633789062,235.80999755859375,114.25,136.91000366210938,267.45001220703125,122.79000091552734,86.86000061035156,277.32000732421875,25.975000381469727
1794,138.0,95.68000030517578,232.75999450683594,112.98999786376953,135.69000244140625,265.20001220703125,121.37000274658203,86.06999969482422,275.2200012207031,25.780000686645508
1795,140.89999389648438,97.71499633789062,237.1320037841797,114.2300033569336,138.6999969482422,247.55999755859375,124.7699966430664,86.7300033569336,281.6000061035156,26.915000915527344
1796,140.82220458984375,98.29000091552734,237.9355010986328,115.09500122070312,137.6300048828125,245.47189331054688,125.77999877929688,86.97000122070312,282.2250061035156,26.81999969482422
1797,140.9199981689453,97.98999786376953,237.19000244140625,114.79910278320312,137.05999755859375,242.74000549316406,124.9800033569336,86.26000213623047,281.3450012207031,26.875
1798,142.0,98.5199966430664,238.91000366210938,115.22000122070312,137.86300659179688,243.05990600585938,125.33999633789062,86.87999725341797,284.3599853515625,27.014999389648438
1799,142.88499450683594,98.99500274658203,241.07000732421875,116.48500061035156,138.99989318847656,242.72000122070312,125.66000366210938,87.55549621582031,285.239990234375,27.125
1800,142.90499877929688,99.19000244140625,241.32000732421875,116.52999877929688,139.38999938964844,245.68499755859375,126.44000244140625,87.76000213623047,286.55999755859375,27.139999389648438
1801,142.52000427246094,98.62000274658203,240.6999969482422,115.94999694824219,138.63499450683594,242.39999389648438,125.12999725341797,87.18000030517578,285.17999267578125,26.959999084472656
1802,145.72000122070312,101.26000213623047,249.2801055908203,121.79989624023438,139.52000427246094,253.14999389648438,130.22999572753906,90.5199966430664,293.2099914550781,27.479999542236328
1803,145.22999572753906,101.43000030517578,249.1699981689453,122.74500274658203,141.1699981689453,255.27999877929688,131.27000427246094,92.12999725341797,295.25,27.692699432373047
1804,145.47500610351562,101.61499786376953,249.02000427246094,122.58070373535156,141.60009765625,248.66000366210938,131.22999572753906,92.91000366210938,296.6700134277344,27.614999771118164
1805,144.88999938964844,101.0,247.42999267578125,120.94999694824219,140.0399932861328,244.52000427246094,129.88999938964844,91.80750274658203,292.80499267578125,27.459999084472656
1806,145.10789489746094,101.19000244140625,247.5399932861328,120.91000366210938,140.3800048828125,247.27999877929688,130.27000427246094,92.44000244140625,293.4700012207031,27.55500030517578
1807,145.72999572753906,101.43000030517578,248.0500030517578,120.87979888916016,140.02999877929688,248.2100067138672,131.19000244140625,92.56999969482422,294.1545104980469,27.584999084472656
1808,146.16000366210938,101.6500015258789,248.9600067138672,121.08999633789062,140.3800048828125,249.6699981689453,131.7100067138672,92.81999969482422,294.989990234375,27.700000762939453
1809,143.41000366210938,98.91000366210938,244.4499969482422,118.16000366210938,135.60000610351562,236.52000427246094,126.39990234375,91.19999694824219,289.67010498046875,26.969999313354492
1810,144.13999938964844,99.23999786376953,245.27000427246094,118.72000122070312,135.82000732421875,234.17999267578125,127.94000244140625,91.58000183105469,291.4800109863281,27.18000030517578
1811,145.08999633789062,100.05999755859375,246.97000122070312,119.4896011352539,136.19000244140625,236.05999755859375,129.75,92.66000366210938,293.4549865722656,27.450000762939453
1812,145.86549377441406,100.78500366210938,248.22999572753906,120.41999816894531,137.8928985595703,238.5500030517578,130.9600067138672,93.95999908447266,294.9800109863281,27.649999618530273
1813,145.95989990234375,101.05500030517578,248.98500061035156,120.46499633789062,138.4600067138672,238.4429931640625,130.92999267578125,93.70999908447266,295.7699890136719,27.649999618530273
1814,146.76499938964844,101.5999984741211,249.80499267578125,121.23500061035156,139.61500549316406,240.86000061035156,132.45050048828125,94.21499633789062,297.8299865722656,27.760000228881836
1815,146.4199981689453,101.44000244140625,249.0800018310547,120.91000366210938,138.9199981689453,240.7100067138672,132.07000732421875,93.83999633789062,297.4100036621094,27.639999389648438
1816,145.72889709472656,101.0,246.83999633789062,119.68589782714844,136.74000549316406,235.85000610351562,131.63999938964844,94.02999877929688,297.6300048828125,27.047700881958008
1817,146.52999877929688,102.38999938964844,249.47999572753906,121.02999877929688,141.1199951171875,238.94000244140625,133.75,95.44999694824219,301.8900146484375,27.440000534057617
1818,146.07000732421875,102.11000061035156,248.35000610351562,120.54000091552734,139.58990478515625,237.9600067138672,132.62010192871094,94.9000015258789,301.1099853515625,27.299999237060547
1819,146.4801025390625,102.19000244140625,248.4600067138672,121.0,140.5,240.5301055908203,133.4600067138672,95.01200103759766,300.5799865722656,27.415000915527344
1820,145.88400268554688,101.91999816894531,247.75169372558594,120.56999969482422,140.47000122070312,239.8249969482422,132.24000549316406,94.58999633789062,299.6700134277344,27.18000030517578
1821,145.8699951171875,101.63500213623047,247.55999755859375,120.5999984741211,139.47000122070312,239.8350067138672,131.88499450683594,94.43000030517578,299.1099853515625,27.25
1822,145.49000549316406,101.41000366210938,246.7899932861328,120.31999969482422,139.0800018310547,238.11000061035156,131.2899932861328,94.43000030517578,298.42401123046875,27.15999984741211
1823,141.1199951171875,99.44999694824219,236.16000366210938,116.30000305175781,135.6699981689453,230.08999633789062,125.4000015258789,91.86000061035156,292.1400146484375,26.209999084472656
1824,141.22999572753906,99.44000244140625,236.37989807128906,115.70010375976562,134.99099731445312,228.5,123.08999633789062,91.37999725341797,290.6499938964844,25.90999984741211
1825,140.6750030517578,99.0,235.22999572753906,114.87000274658203,134.2799072265625,222.86000061035156,122.3949966430664,90.33999633789062,288.7699890136719,25.969999313354492
1826,140.27999877929688,98.87999725341797,234.76499938964844,114.34989929199219,133.72000122070312,223.88999938964844,122.30380249023438,90.33000183105469,289.45001220703125,25.899999618530273
1827,140.07789611816406,98.44499969482422,234.10000610351562,114.50990295410156,133.0399932861328,223.27999877929688,121.20999908447266,90.0,288.30999755859375,25.771900177001953
1828,139.72189331054688,98.61000061035156,233.72000122070312,114.33000183105469,132.97999572753906,223.13999938964844,120.94999694824219,90.01000213623047,287.1700134277344,25.725000381469727
1829,140.0800018310547,98.76000213623047,234.25,114.55000305175781,133.4499969482422,223.07000732421875,120.77999877929688,90.16999816894531,288.9100036621094,25.719999313354492
1830,140.0500030517578,98.26000213623047,230.81260681152344,114.94940185546875,134.77000427246094,225.3800048828125,116.62999725341797,86.19000244140625,285.3299865722656,25.489999771118164
1831,140.02000427246094,97.76000213623047,229.42999267578125,113.81999969482422,133.44000244140625,222.9842987060547,115.71499633789062,84.95999908447266,285.1499938964844,25.344999313354492
1832,139.74749755859375,97.5199966430664,227.91000366210938,113.09929656982422,132.38999938964844,222.7698974609375,115.23500061035156,84.62000274658203,284.5799865722656,25.139999389648438
1833,139.9499969482422,97.47630310058594,227.72000122070312,112.98380279541016,132.8300018310547,223.13949584960938,115.6500015258789,84.95999908447266,284.55999755859375,25.236000061035156
1834,140.91000366210938,98.31999969482422,229.83999633789062,113.69999694824219,133.99000549316406,223.67999267578125,116.99099731445312,84.91999816894531,284.489990234375,25.330699920654297
1835,141.06500244140625,98.20500183105469,229.67999267578125,113.87000274658203,134.09190368652344,223.3800048828125,117.02999877929688,84.58999633789062,285.7799987792969,25.329999923706055
1836,140.35000610351562,97.8499984741211,229.08999633789062,113.61000061035156,133.74000549316406,222.94000244140625,116.69989776611328,84.48999786376953,285.6199951171875,25.19099998474121
1837,138.97999572753906,97.12229919433594,225.82000732421875,111.87000274658203,127.4000015258789,222.33999633789062,113.61759948730469,81.33000183105469,283.5,24.829999923706055
1838,139.86000061035156,97.91000366210938,227.52000427246094,112.55999755859375,129.82000732421875,223.17999267578125,115.0999984741211,83.5199966430664,286.80999755859375,25.045000076293945
1839,140.69259643554688,98.4800033569336,228.3800048828125,113.81500244140625,130.335693359375,222.91360473632812,116.75,84.16000366210938,286.8500061035156,25.145000457763672
1840,140.08999633789062,98.4000015258789,227.60000610351562,114.77999877929688,130.27000427246094,221.66000366210938,116.87999725341797,83.44499969482422,286.5899963378906,25.198400497436523
1841,140.0850067138672,98.37529754638672,227.60000610351562,114.01000213623047,130.16000366210938,219.25999450683594,117.24130249023438,84.05000305175781,285.5899963378906,25.19499969482422
1842,138.77999877929688,96.92500305175781,225.05999755859375,111.79000091552734,128.0800018310547,215.9499969482422,114.94000244140625,82.54000091552734,282.8500061035156,24.864999771118164
